"reg_date","gender","age","withdraw_date","user_reg_pref_name","user_id","purchase_flag","view_date","page_serial","referrer_id","session_id","purchase_id","item_count","purchase_date","user_res_small_area_name","activity_date","coupon_id"
2011-03-03,0,44,NA,"aichi","u17446",0,"2011-07-01",1,"r47687","s1007087",NA,0,NA,NA,"2011-07-01","c16816"
2011-03-03,0,44,NA,"aichi","u17446",0,"2011-07-01",3,"r47687","s1007087",NA,0,NA,NA,"2011-07-01","c16439"
2011-03-03,0,44,NA,"aichi","u17446",0,"2011-07-02",1,"r47687","s995813",NA,0,NA,NA,"2011-07-02","c24957"
2011-03-03,0,44,NA,"aichi","u17446",0,"2011-07-05",1,"r47687","s792710",NA,0,NA,NA,"2011-07-05","c11353"
2011-03-03,0,44,NA,"aichi","u17446",0,"2011-07-06",1,"r47687","s87320",NA,0,NA,NA,"2011-07-06","c4874"
2011-03-03,0,44,NA,"aichi","u17446",0,"2011-07-06",2,"r42562","s87320",NA,0,NA,NA,"2011-07-06","c18338"
2011-03-03,0,44,NA,"aichi","u17446",0,"2011-07-07",1,"r47687","s403143",NA,0,NA,NA,"2011-07-07","c18416"
2011-03-03,0,44,NA,"aichi","u17446",0,"2011-07-09",1,"r47687","s236115",NA,0,NA,NA,"2011-07-09","c13042"
2011-03-03,0,44,NA,"aichi","u17446",0,"2011-07-10",1,"r47687","s132815",NA,0,NA,NA,"2011-07-10","c18108"
2011-03-03,0,44,NA,"aichi","u17446",0,"2011-07-10",2,"r91581","s132815",NA,0,NA,NA,"2011-07-10","c30294"
2011-03-03,0,44,NA,"aichi","u17446",0,"2011-07-11",1,"r47687","s184277",NA,0,NA,NA,"2011-07-11","c18188"
2011-03-03,0,44,NA,"aichi","u17446",0,"2011-07-11",2,"r86040","s184277",NA,0,NA,NA,"2011-07-11","c17059"
2011-03-03,0,44,NA,"aichi","u17446",0,"2011-07-12",1,"r47687","s544127",NA,0,NA,NA,"2011-07-12","c4721"
2011-03-03,0,44,NA,"aichi","u17446",0,"2011-07-12",5,"r47687","s544127",NA,0,NA,NA,"2011-07-12","c4721"
2011-03-03,0,44,NA,"aichi","u17446",0,"2011-07-14",1,"r47687","s1020873",NA,0,NA,NA,"2011-07-14","c4910"
2011-03-03,0,44,NA,"aichi","u17446",0,"2011-07-15",1,"r47687","s250659",NA,0,NA,NA,"2011-07-15","c1987"
2011-03-03,0,44,NA,"aichi","u17446",0,"2011-07-22",1,"r47687","s814815",NA,0,NA,NA,"2011-07-22","c1052"
2011-03-03,0,44,NA,"aichi","u17446",0,"2011-07-22",2,"r52583","s814815",NA,0,NA,NA,"2011-07-22","c26737"
2011-03-03,0,44,NA,"aichi","u17446",0,"2011-08-17",1,"r47687","s734372",NA,0,NA,NA,"2011-08-17","c248"
2011-03-03,0,44,NA,"aichi","u17446",0,"2012-05-18",1,"r47687","s310293",NA,0,NA,NA,"2012-05-18","c18835"
2011-03-03,0,44,NA,"aichi","u17446",0,"2012-05-19",1,"r47687","s513788",NA,0,NA,NA,"2012-05-19","c18744"
2011-03-03,0,44,NA,"aichi","u17446",0,"2012-05-21",1,"r47687","s1009413",NA,0,NA,NA,"2012-05-21","c18835"
2011-03-03,0,44,NA,"aichi","u17446",0,"2012-05-21",2,"r15661","s1009413",NA,0,NA,NA,"2012-05-21","c17753"
2011-03-03,0,44,NA,"aichi","u17446",0,"2012-05-21",1,"r47687","s448161",NA,0,NA,NA,"2012-05-21","c17857"
2011-03-03,0,44,NA,"aichi","u17446",0,"2012-05-23",1,"r47687","s96609",NA,0,NA,NA,"2012-05-23","c17857"
2011-03-03,0,44,NA,"aichi","u17446",0,"2012-05-24",1,"r47687","s167749",NA,0,NA,NA,"2012-05-24","c28444"
2011-03-03,0,44,NA,"aichi","u17446",0,"2012-05-25",1,"r47687","s463399",NA,0,NA,NA,"2012-05-25","c9067"
2011-03-03,0,44,NA,"aichi","u17446",0,"2012-05-25",5,"r47687","s463399",NA,0,NA,NA,"2012-05-25","c17409"
